DEX-PIS-RPS-9mm-BLN-00124	RAPAX Sport Black Nickel
DEX-PIS-RPS-9mm-BLO-00123	RAPAX Sport Black Oxide
DEX-PIS-RPS-9mm-CPC-00126	RAPAX Sport Complete Cerakote
DEX-PIS-RPS-9mm-DPC-00125	RAPAX Sport Duotone / Partial Cerakote
DEX-PIS-RPS-9mm-PDL-00127	RAPAX Sport Partial DLC
DEX-PIS-RPS-9mm-TDL-00128	RAPAX Sport Total DLC
DEX-PIS-RPT-9mm-BLN-00130	RAPAX Tactical Black Nickel
DEX-PIS-RPT-9mm-BLO-00129	RAPAX Tactical Black Oxide
DEX-PIS-RPT-9mm-CPC-00132	RAPAX Tactical Complete Cerakote
DEX-PIS-RPT-9mm-DPC-00131	RAPAX Tactical Duotone / Partial Cerakote
DEX-PIS-RPT-9mm-PDL-00133	RAPAX Tactical Partial DLC
DEX-PIS-RPT-9mm-TDL-00134	RAPAX Tactical Total DLC
FCH-AMO-XXX-300-XX-00083	300 AAC Blackout FMC, 147 grs, 580 m/s, 50 pieces
FCH-AMO-XXX-9mm-XX-00084	9mm LUGER FMJ, 8g, 124grs, 50 pieces
Instruktor-2-H	Instruktor 2 Stunden
KIT-223	.223 CALIBER KIT
KIT-22LR	.22LR CALIBER KIT
KIT-300AAC	300 AAC CALIBER KIT
KIT-762	7.62x39 CALIBER KIT
KIT-9MM	9mm CALIBER KIT
ments	Plate carrier, Strap on -14
MGP-MG-AR10-223-SW-00031	PMAG® 10 AR/M4 GEN M3®, 5.56x45
MGP-MG-AR20-223-ODT-00030	TMAG™ 20 AR/M4 GEN M3®
MGP-MG-AR20-223-SW-00029	PMAG® 20 AR/M4 GEN M3®, 5.56x45
MGP-MG-AR30-223-CT-00087	PMAG® 30 AR/M4 GEN M3®, 5.56x45
MGP-MG-AR30-223-ODT-00026	TMAG™ 30 AR/M4 GEN M3®
MGP-MG-AR30-223-SW-00028	PMAG® 30 AR/M4 GEN M2 MOE®, 5.56x45
MGP-MG-AR30-223-SW-00090	PMAG® 30 AR/M4 GEN M3®, 5.56x45
MGP-MG-AR30W-223-CT-00089	PMAG® 30 AR/M4 GEN M3® Window, 5.56x45
MGP-MG-AR30W-223-SW-00027	PMAG® 30 AR/M4 GEN M2 MOE® Window, 5.56x45
MGP-MG-AR30W-223-SW-00086	PMAG® 30 AR/M4 GEN M3® Window, 5.56x45
MGP-MG-AR40-223-SW-00088	PMAG® 40 AR/M4 GEN M3®, 5.56x45
MGP-ZBH-ACS-000-FD-00061	XTM® Hand Stop Kit
MGP-ZBH-ACS-000-OD-00063	XTM® Hand Stop Kit, OD-Green
MGP-ZBH-ACS-000-SG-00062	XTM® Hand Stop Kit, Sniper Grey
MGP-ZBH-ACS-000-SW-00060	XTM® Hand Stop Kit, black
MGP-ZBH-BPD-000-FD-00065	Magpul® Bipod for M-LOK®, FDE
MGP-ZBH-BPD-000-SW-00064	Magpul® Bipod for M-LOK®, black
MGP-ZBH-GRP-000-FD-00053	AFG® - Angled Fore Grip
MGP-ZBH-GRP-000-FD-00057	RVG® - Rail Vertical Grip, FDE
MGP-ZBH-GRP-000-FD-00068	M-LOK® MVG® - MOE® Vertical Grip, FDE
MGP-ZBH-GRP-000-OD-00055	AFG® - Angled Fore Grip
MGP-ZBH-GRP-000-OD-00059	RVG® - Rail Vertical Grip. OD-Green
MGP-ZBH-GRP-000-OD-00070	M-LOK® MVG® - MOE® Vertical Grip
MGP-ZBH-GRP-000-SG-00054	AFG® - Angled Fore Grip
MGP-ZBH-GRP-000-SG-00058	RVG® - Rail Vertical Grip, Sniper Grey
MGP-ZBH-GRP-000-SG-00069	M-LOK® MVG® - MOE® Vertical Grip, Sniper Grey
MGP-ZBH-GRP-000-SW-00052	AFG® - Angled Fore Grip
MGP-ZBH-GRP-000-SW-00056	RVG® - Rail Vertical Grip - black
MGP-ZBH-GRP-000-SW-00067	M-LOK® MVG® - MOE® Vertical Grip, black
MGP-ZBH-STK-000-FD-00033	MOE® Fixed Carbine Stock - Mil-Spec
